"Dato","Arr/Dep","Rutenr.","STA/STD","A/C","Org./Des."
"9/19/2019","D","SK 1416 ","8:00","73H","ARN "
"9/19/2019","D","SK 2683 ","8:00","CR9","BLQ "
"9/19/2019","D","SK 657  ","8:00","CR9","STR "
"9/19/2019","D","SK 669  ","8:00","AT7","HAJ "
"9/19/2019","D","SK 751  ","8:00","319","WAW "
"9/19/2019","A","DX 073  ","8:05","AT7","KRP "
"9/19/2019","A","FR 8220 ","8:05","73H","PRG "
"9/19/2019","A","PNX515  ","8:05","J32","FMO "
"9/19/2019","D","SK 1629 ","8:05","32A","DUS "
"9/19/2019","D","SK 1870 ","8:05","CR9","SVG "
"9/19/2019","D","SK 2862 ","8:05","CR9","BGO "
"9/19/2019","D","SK 744  ","8:05","CR9","VNO "
"9/19/2019","D","SK 755  ","8:05","CR9","GDN "
"9/19/2019","A","D8 3081 ","8:10","73H","AAL "
"9/19/2019","A","EJU4553 ","8:10","319","SXF "
"9/19/2019","D","SK 1462 ","8:10","73H","OSL "
"9/19/2019","D","SK 1641 ","8:10","CR9","HAM "
"9/19/2019","A","DY 4151 ","8:15","73H","ARN "
"9/19/2019","A","FR 201  ","8:15","73H","CRL "
"9/19/2019","D","6I 102  ","8:15","AT7","SGD "
"9/19/2019","D","SK 2551 ","8:15","320","AMS "
"9/19/2019","D","SK 593  ","8:15","320","BRU "
"9/19/2019","A","AY 951  ","8:20","321","HEL "
"9/19/2019","A","SK 1463 ","8:20","32A","OSL "
"9/19/2019","D","OE 2317 ","8:20","320","STR "
"9/19/2019","D","QR 162  ","8:20","77W","DOH "
"9/19/2019","D","SK 434  ","8:20","CR9","GOT "
"9/19/2019","D","SK 613  ","8:20","CR9","GVA "
"9/19/2019","A","BT 131  ","8:25","733","RIX "
"9/19/2019","A","SK 1417 ","8:25","73W","ARN "
"9/19/2019","A","SK 550  ","8:25","320","AMS "
"9/19/2019","D","SK 1685 ","8:25","321","MXP "
"9/19/2019","D","SK 2533 ","8:25","CR9","BHX "
"9/19/2019","D","SK 2757 ","8:25","AT7","SZZ "
"9/19/2019","D","SK 565  ","8:25","321","CDG "
"9/19/2019","A","OK 504  ","8:30","319","PRG "
"9/19/2019","D","DX 034  ","8:30","AT7","RNN "
"9/19/2019","D","FR 8221 ","8:30","73H","PRG "
"9/19/2019","D","PNX516  ","8:30","J32","FMO "
"9/19/2019","D","RC 101  ","8:30","320","AAR "
"9/19/2019","D","SK 539  ","8:30","320","MAN "
"9/19/2019","D","SK 595  ","8:30","32A","KEF "
"9/19/2019","A","EJU5681 ","8:35","32A","TXL "
"9/19/2019","D","LG 5434 ","8:35","DH4","LUX "
"9/19/2019","D","SK 777  ","8:35","321","ATH "
